strategy,match_number,event_start_time,event_title,actual_outcome,selection_outcome,selection,bet_placed,pnl,cumulative_pnl
NO lowest Elo probability,1,2026-06-11T19:00:00Z,Mexico vs. South Africa,team1_win,team2_win,NO South Africa,True,11.73184357541901,11.73184357541901
NO lowest Elo probability,2,2026-06-12T02:00:00Z,Korea Republic vs. Czechia,team1_win,draw,NO Draw,True,45.98540145985397,57.71724503527298
NO lowest Elo probability,3,2026-06-12T19:00:00Z,Canada vs. Bosnia-Herzegovina,draw,team2_win,NO Bosnia-Herzegovina,True,24.13793103448276,81.85517606975574
NO lowest Elo probability,4,2026-06-13T01:00:00Z,United States vs. Paraguay,team1_win,draw,NO Draw,True,41.978230004732595,123.83340607448832
NO lowest Elo probability,5,2026-06-13T19:00:00Z,Qatar vs. Switzerland,draw,team1_win,NO Qatar,True,6.385650939813803,130.21905701430214
NO lowest Elo probability,6,2026-06-13T22:00:00Z,Brazil vs. Morocco,draw,team2_win,NO Morocco,True,19.760479041916177,149.9795360562183
NO lowest Elo probability,7,2026-06-14T01:00:00Z,Haiti vs. Scotland,team1_win,team1_win,NO Haiti,True,-100.0,49.97953605621831
NO lowest Elo probability,8,2026-06-14T04:00:00Z,Australia vs. Türkiye,team1_win,team1_win,NO Australia,True,-100.0,-50.02046394378169
NO lowest Elo probability,9,2026-06-14T17:00:00Z,Germany vs. Curaçao,team1_win,team2_win,NO Curaçao,True,2.194339569080528,-47.826124374701166
NO lowest Elo probability,10,2026-06-14T20:00:00Z,Netherlands vs. Japan,draw,draw,NO Draw,True,-100.0,-147.82612437470118
NO lowest Elo probability,11,2026-06-14T23:00:00Z,Côte d'Ivoire vs. Ecuador,team1_win,team1_win,NO Côte d'Ivoire,True,-100.0,-247.82612437470118
NO lowest Elo probability,12,2026-06-15T02:00:00Z,Sweden vs. Tunisia,team1_win,draw,NO Draw,True,39.81125480601189,-208.01486956868928
NO lowest Elo probability,13,2026-06-15T16:00:00Z,Spain vs. Cabo Verde,draw,team2_win,NO Cabo Verde,True,2.5842687023944766,-205.4306008662948
NO lowest Elo probability,14,2026-06-15T19:00:00Z,Belgium vs. Egypt,draw,team2_win,NO Egypt,True,17.79333813232118,-187.6372627339736
NO lowest Elo probability,15,2026-06-15T22:00:00Z,Saudi Arabia vs. Uruguay,draw,team1_win,NO Saudi Arabia,True,13.012086014754365,-174.62517671921927
NO lowest Elo probability,16,2026-06-16T01:00:00Z,IR Iran vs. New Zealand,draw,team2_win,NO New Zealand,True,23.211718803477343,-151.4134579157419
NO lowest Elo probability,17,2026-06-16T19:00:00Z,France vs. Senegal,team1_win,team2_win,NO Senegal,True,14.635078333970174,-136.77837958177173
NO lowest Elo probability,18,2026-06-16T22:00:00Z,Iraq vs. Norway,team1_win,team1_win,NO Iraq,True,-100.0,-236.77837958177173
NO lowest Elo probability,19,2026-06-17T01:00:00Z,Argentina vs. Algeria,team1_win,team2_win,NO Algeria,True,13.410830734335132,-223.3675488474366
NO lowest Elo probability,20,2026-06-17T04:00:00Z,Austria vs. Jordan,team1_win,team2_win,NO Jordan,True,11.815132314573251,-211.55241653286336
NO lowest Elo probability,21,2026-06-17T17:00:00Z,Portugal vs. DR Congo,draw,team2_win,NO DR Congo,True,8.108108108108091,-203.44430842475526
NO lowest Elo probability,22,2026-06-17T20:00:00Z,England vs. Croatia,team1_win,draw,NO Draw,True,33.998362242239246,-169.44594618251602
NO lowest Elo probability,23,2026-06-17T23:00:00Z,Ghana vs. Panama,team1_win,team1_win,NO Ghana,True,-100.0,-269.445946182516
NO lowest Elo probability,24,2026-06-18T02:00:00Z,Uzbekistan vs. Colombia,team1_win,team1_win,NO Uzbekistan,True,-100.0,-369.445946182516
NO lowest Elo probability,25,2026-06-18T16:00:00Z,Czechia vs. South Africa,draw,team2_win,NO South Africa,True,25.698324022346377,-343.74762216016967
NO lowest Elo probability,26,2026-06-18T19:00:00Z,Switzerland vs. Bosnia-Herzegovina,team1_win,team2_win,NO Bosnia-Herzegovina,True,17.141741507223717,-326.6058806529459
NO lowest Elo probability,27,2026-06-18T22:00:00Z,Canada vs. Qatar,team1_win,team2_win,NO Qatar,True,9.147136403601852,-317.4587442493441
NO lowest Elo probability,28,2026-06-19T01:00:00Z,Mexico vs. Korea Republic,team1_win,draw,NO Draw,True,42.04265225196791,-275.41609199737616
NO lowest Elo probability,29,2026-06-19T19:00:00Z,United States vs. Australia,team1_win,draw,NO Draw,True,27.795527156549515,-247.62056484082666
NO lowest Elo probability,30,2026-06-19T22:00:00Z,Scotland vs. Morocco,team1_win,draw,NO Draw,True,36.05442176870748,-211.5661430721192
